,morph_name,morph_path,mtype,layer
0,ak171117_A_idA,mouse_morphologies/ak171117_A_idA.asc,L5_IN,5
1,ak171120_A_idA,mouse_morphologies/ak171120_A_idA.asc,L5_IN,5
